item_id	source_path	source_hash	target_artifact	status
ZS1-010	packages/agent/src/agent-loop.ts	1e16404a231912fbd7643d8317b15ec4cc6245ed8cedc37582a31d430a1cc6ac	Docs/learn/stage1_pi_mono/files/packages/agent/src/agent-loop.ts_learn.md	[x]
ZS1-011	packages/agent/src/agent.ts	25b52fda7c8fa09d4d5cc8bcbb04db63e9d785b978c846d8c59a367ba91fe045	Docs/learn/stage1_pi_mono/files/packages/agent/src/agent.ts_learn.md	[x]
ZS1-012	packages/agent/src/harness/compaction/compaction.ts	6e7aec0d27cb566f8f85f7dd13850eda98f5ddf7e78f9a919fb3dd03c3ea3a8a	Docs/learn/stage1_pi_mono/files/packages/agent/src/harness/compaction/compaction.ts_learn.md	[x]
ZS1-013	packages/agent/src/harness/session/context.ts	409078e31155a77bbfa1fff20ab81d55370fa379ad95c12933eecbf832efeaf1	Docs/learn/stage1_pi_mono/files/packages/agent/src/harness/session/context.ts_learn.md	[x]
ZS1-014	packages/agent/test/agent-loop.test.ts	c359921a73525d67cf42481ad04210952fe36a9517d7b099f41710734438987d	Docs/learn/stage1_pi_mono/files/packages/agent/test/agent-loop.test.ts_learn.md	[x]
ZS1-015	packages/ai/src/types.ts	f2edab10f093a15ba2cdeaaf4fa1634d76ee943e6f62b2f44bdb2d14321834e0	Docs/learn/stage1_pi_mono/files/packages/ai/src/types.ts_learn.md	[x]
ZS1-016	packages/ai/src/api/anthropic-messages.ts	8e105cc5b2dd304547ed613b70de4740c4db93cee830dc452c2de945052b12b7	Docs/learn/stage1_pi_mono/files/packages/ai/src/api/anthropic-messages.ts_learn.md	[x]
ZS1-017	packages/ai/src/api/google-generative-ai.ts	1395c3f2a90bf701b8b5fc1b6f7de8d323193ed339e07a60630900099a543757	Docs/learn/stage1_pi_mono/files/packages/ai/src/api/google-generative-ai.ts_learn.md	[x]
ZS1-018	packages/coding-agent/src/core/session-manager.ts	57bc70a751567b96c057535766240ae52d9b76d9013ea78049d74dc3b654e915	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/session-manager.ts_learn.md	[x]
ZS1-019	packages/coding-agent/src/core/skills.ts	055dbfde974fd1951267dd6f9204b5d713ff0004e0991eb870fce9158c6e359a	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/skills.ts_learn.md	[x]
ZS1-020	packages/coding-agent/src/core/prompt-templates.ts	e94b8504b97fe668b04577891b7029abc7d11ac795e728982d2615a13ec1528a	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/prompt-templates.ts_learn.md	[x]
ZS1-021	packages/coding-agent/src/core/resource-loader.ts	1877e9535820cb8b45e5a84598ac8ae581058bb0fbee6f0c64ec672f8ab986dd	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/resource-loader.ts_learn.md	[x]
ZS1-022	packages/coding-agent/src/core/extensions/types.ts	96e20f8038027f0b0172f311b6b9d9ddf42123b2f5b2a018f533af026fd3371e	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/extensions/types.ts_learn.md	[x]
ZS1-023	packages/coding-agent/src/core/extensions/runner.ts	6d5101ab0551c2ddd904a8089cc221b3c448fcfe36c27e36da02cdacc869c084	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/extensions/runner.ts_learn.md	[x]
ZS1-024	packages/coding-agent/src/core/tools/output-accumulator.ts	c601ddd8e10934be6f3db30696eacba7b9544f2dd1648a5ec3c9935f0d4625c3	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/output-accumulator.ts_learn.md	[x]
ZS1-025	packages/coding-agent/src/core/tools/bash.ts	b76645f5d7b414957c7772eb8ec75d9dee71d27320ebcbf419881451576a6eee	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/bash.ts_learn.md	[x]
ZS1-026	packages/coding-agent/src/core/tools/grep.ts	88be3d00217d1a1caf8a9e7bb2b8d2e6d96edfa4b790c2cf76c746ab36b8841b	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/grep.ts_learn.md	[x]
ZS1-027	packages/coding-agent/src/core/tools/find.ts	b06bcae6821a0e9fda1b63be613a7ce28eb0e66e1d01d16564e59e83f9ce10ea	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/find.ts_learn.md	[x]
ZS1-028	packages/coding-agent/src/core/agent-session.ts	17116255610ad2a3f3a7f6870a12b14b993ace65fbfa461c4a43d0ad9a013237	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/agent-session.ts_learn.md	[x]
ZS1-029	packages/ai/src/api/openai-completions.ts	5874bf0b121db117bd4eba8fffa750252f5f7617f38306c6eb1f746575896319	Docs/learn/stage1_pi_mono/files/packages/ai/src/api/openai-completions.ts_learn.md	[x]
ZS1-030	packages/coding-agent/src/core/model-registry.ts	b94ea3640c3df228eda475665fb10e4812b88a9e98f336349893e73a75ec91e9	Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/model-registry.ts_learn.md	[x]
