source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
SRC-0117	packages/agent/src/agent-loop.ts	source	22796	1e16404a231912fbd7643d8317b15ec4cc6245ed8cedc37582a31d430a1cc6ac	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/agent/src/agent-loop.ts_learn.md	Docs/learn/stage1_pi_mono/packages/agent/src/current_folder_learn.md	understand	ZS1-010	[x]
SRC-0118	packages/agent/src/agent.ts	source	18767	25b52fda7c8fa09d4d5cc8bcbb04db63e9d785b978c846d8c59a367ba91fe045	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/agent/src/agent.ts_learn.md	Docs/learn/stage1_pi_mono/packages/agent/src/current_folder_learn.md	understand	ZS1-011	[x]
SRC-0121	packages/agent/src/harness/compaction/compaction.ts	source	27410	6e7aec0d27cb566f8f85f7dd13850eda98f5ddf7e78f9a919fb3dd03c3ea3a8a	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/agent/src/harness/compaction/compaction.ts_learn.md	Docs/learn/stage1_pi_mono/packages/agent/src/harness/compaction/current_folder_learn.md	understand	ZS1-012	[x]
SRC-0156	packages/agent/src/harness/session/context.ts	source	2200	409078e31155a77bbfa1fff20ab81d55370fa379ad95c12933eecbf832efeaf1	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/agent/src/harness/session/context.ts_learn.md	Docs/learn/stage1_pi_mono/packages/agent/src/harness/session/current_folder_learn.md	understand	ZS1-013	[x]
SRC-0209	packages/agent/test/agent-loop.test.ts	source	47809	c359921a73525d67cf42481ad04210952fe36a9517d7b099f41710734438987d	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/agent/test/agent-loop.test.ts_learn.md	Docs/learn/stage1_pi_mono/packages/agent/test/current_folder_learn.md	understand	ZS1-014	[x]
SRC-0440	packages/ai/src/types.ts	source	37411	f2edab10f093a15ba2cdeaaf4fa1634d76ee943e6f62b2f44bdb2d14321834e0	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/ai/src/types.ts_learn.md	Docs/learn/stage1_pi_mono/packages/ai/src/current_folder_learn.md	understand	ZS1-015	[x]
SRC-0286	packages/ai/src/api/anthropic-messages.ts	source	48616	8e105cc5b2dd304547ed613b70de4740c4db93cee830dc452c2de945052b12b7	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/ai/src/api/anthropic-messages.ts_learn.md	Docs/learn/stage1_pi_mono/packages/ai/src/api/current_folder_learn.md	understand	ZS1-016	[x]
SRC-0296	packages/ai/src/api/google-generative-ai.ts	source	16027	1395c3f2a90bf701b8b5fc1b6f7de8d323193ed339e07a60630900099a543757	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/ai/src/api/google-generative-ai.ts_learn.md	Docs/learn/stage1_pi_mono/packages/ai/src/api/current_folder_learn.md	understand	ZS1-017	[x]
SRC-0936	packages/coding-agent/src/core/session-manager.ts	source	54054	57bc70a751567b96c057535766240ae52d9b76d9013ea78049d74dc3b654e915	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/session-manager.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-018	[x]
SRC-0939	packages/coding-agent/src/core/skills.ts	source	14687	055dbfde974fd1951267dd6f9204b5d713ff0004e0991eb870fce9158c6e359a	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/skills.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-019	[x]
SRC-0925	packages/coding-agent/src/core/prompt-templates.ts	source	8079	e94b8504b97fe668b04577891b7029abc7d11ac795e728982d2615a13ec1528a	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/prompt-templates.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-020	[x]
SRC-0931	packages/coding-agent/src/core/resource-loader.ts	source	40180	1877e9535820cb8b45e5a84598ac8ae581058bb0fbee6f0c64ec672f8ab986dd	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/resource-loader.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-021	[x]
SRC-0909	packages/coding-agent/src/core/extensions/types.ts	source	63623	96e20f8038027f0b0172f311b6b9d9ddf42123b2f5b2a018f533af026fd3371e	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/extensions/types.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/extensions/current_folder_learn.md	understand	ZS1-022	[x]
SRC-0908	packages/coding-agent/src/core/extensions/runner.ts	source	39774	6d5101ab0551c2ddd904a8089cc221b3c448fcfe36c27e36da02cdacc869c084	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/extensions/runner.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/extensions/current_folder_learn.md	understand	ZS1-023	[x]
SRC-0953	packages/coding-agent/src/core/tools/output-accumulator.ts	source	6049	c601ddd8e10934be6f3db30696eacba7b9544f2dd1648a5ec3c9935f0d4625c3	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/output-accumulator.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/tools/current_folder_learn.md	understand	ZS1-024	[x]
SRC-0945	packages/coding-agent/src/core/tools/bash.ts	source	13665	b76645f5d7b414957c7772eb8ec75d9dee71d27320ebcbf419881451576a6eee	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/bash.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/tools/current_folder_learn.md	understand	ZS1-025	[x]
SRC-0950	packages/coding-agent/src/core/tools/grep.ts	source	11550	88be3d00217d1a1caf8a9e7bb2b8d2e6d96edfa4b790c2cf76c746ab36b8841b	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/grep.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/tools/current_folder_learn.md	understand	ZS1-026	[x]
SRC-0949	packages/coding-agent/src/core/tools/find.ts	source	11178	b06bcae6821a0e9fda1b63be613a7ce28eb0e66e1d01d16564e59e83f9ce10ea	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/tools/find.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/tools/current_folder_learn.md	understand	ZS1-027	[x]
SRC-0884	packages/coding-agent/src/core/agent-session.ts	source	120916	17116255610ad2a3f3a7f6870a12b14b993ace65fbfa461c4a43d0ad9a013237	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/agent-session.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-028	[x]
SRC-0306	packages/ai/src/api/openai-completions.ts	source	62416	5874bf0b121db117bd4eba8fffa750252f5f7617f38306c6eb1f746575896319	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/ai/src/api/openai-completions.ts_learn.md	Docs/learn/stage1_pi_mono/packages/ai/src/api/current_folder_learn.md	understand	ZS1-029	[x]
SRC-0917	packages/coding-agent/src/core/model-registry.ts	source	5139	b94ea3640c3df228eda475665fb10e4812b88a9e98f336349893e73a75ec91e9	stage1_pi_mono			Docs/learn/stage1_pi_mono/files/packages/coding-agent/src/core/model-registry.ts_learn.md	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	understand	ZS1-030	[x]
