item_id	source_path	source_hash	target_artifact	status
ZS1-070	src/core.rs	0d4d0d1aef706528fe1a91ec9846ab4ea365c61e08c67d23a6a794a26c49916e	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/core.rs_learn.md	[x]
ZS1-071	src/runtime.rs	2183b622d96a8fdc084784af8f537fa09a4e1703b5ff70de3bc459d29fb05315	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/runtime.rs_learn.md	[x]
ZS1-072	src/protocol.rs	90a5644d5a818a8051172b42b302614fb3263ebac737ce9dbf4a842791370d27	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/protocol.rs_learn.md	[x]
ZS1-073	src/context.rs	bc4ce7999a0f4d162effece8c6f839aca3a230e97675a1d7908fca5d6a7fe909	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/context.rs_learn.md	[x]
ZS1-074	src/session.rs	8fb3ff2c387b13d34d8bbe4533bb2b0a81b5e546f5e03216b74b5cf2c61c9a2b	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/session.rs_learn.md	[x]
ZS1-075	src/backend.rs	d11105597a7e4260c67c9ce7796394687b4219617a6ebfdfeca637ae469c3357	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/backend.rs_learn.md	[x]
ZS1-076	src/config.rs	f5691bd3818dcaf1481a88b63cc4f3874bc6b007234059e26124b74046325d12	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/config.rs_learn.md	[x]
ZS1-077	src/tools.rs	c3149b926933e5800cd41a2e8d3fcf6f109f8a455f2ef6ed8e2d48d696dbe33c	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/tools.rs_learn.md	[x]
ZS1-078	src/skills.rs	a6d0a2f671febdef2e631ca53d2788ab869ab7b86db6c0cb1feaf24d128f83e8	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/skills.rs_learn.md	[x]
ZS1-079	src/slash.rs	d0702d86e3cf8087dbc09a3fe68c9067dd6bed9f37f499abcdb7e0131927a1c9	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/slash.rs_learn.md	[x]
ZS1-080	src/extensions.rs	38a242eff3ec911f4560e3dea3868b742d511205ff0ccab1b622962b41e420ed	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/extensions.rs_learn.md	[x]
ZS1-081	src/domain_execution.rs	2f5ee732fdf80b99af0ab973eb4594b2369786ae4acc6a86768fc3ba49be890f	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domain_execution.rs_learn.md	[x]
ZS1-082	src/domains.rs	c11e10d02a21ed3412e731acd269080053b18f649935bb1f9486b128ee7c79ac	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domains.rs_learn.md	[x]
