source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
ZS1-070	src/core.rs	target	279620	0d4d0d1aef706528fe1a91ec9846ab4ea365c61e08c67d23a6a794a26c49916e	stage1_pi_mono		ZS1-070	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/core.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-070	[x]
ZS1-071	src/runtime.rs	target	28121	2183b622d96a8fdc084784af8f537fa09a4e1703b5ff70de3bc459d29fb05315	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/runtime.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-071	[x]
ZS1-072	src/protocol.rs	target	45517	90a5644d5a818a8051172b42b302614fb3263ebac737ce9dbf4a842791370d27	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/protocol.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-072	[x]
ZS1-073	src/context.rs	target	8199	bc4ce7999a0f4d162effece8c6f839aca3a230e97675a1d7908fca5d6a7fe909	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/context.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-073	[x]
ZS1-074	src/session.rs	target	176828	8fb3ff2c387b13d34d8bbe4533bb2b0a81b5e546f5e03216b74b5cf2c61c9a2b	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/session.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-074	[x]
ZS1-075	src/backend.rs	target	98741	d11105597a7e4260c67c9ce7796394687b4219617a6ebfdfeca637ae469c3357	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/backend.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-075	[x]
ZS1-076	src/config.rs	target	77782	f5691bd3818dcaf1481a88b63cc4f3874bc6b007234059e26124b74046325d12	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/config.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-076	[x]
ZS1-077	src/tools.rs	target	119778	c3149b926933e5800cd41a2e8d3fcf6f109f8a455f2ef6ed8e2d48d696dbe33c	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/tools.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-077	[x]
ZS1-078	src/skills.rs	target	40533	a6d0a2f671febdef2e631ca53d2788ab869ab7b86db6c0cb1feaf24d128f83e8	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/skills.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-078	[x]
ZS1-079	src/slash.rs	target	81726	d0702d86e3cf8087dbc09a3fe68c9067dd6bed9f37f499abcdb7e0131927a1c9	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/slash.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-079	[x]
ZS1-080	src/extensions.rs	target	20742	38a242eff3ec911f4560e3dea3868b742d511205ff0ccab1b622962b41e420ed	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/extensions.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-080	[x]
ZS1-081	src/domain_execution.rs	target	112548	2f5ee732fdf80b99af0ab973eb4594b2369786ae4acc6a86768fc3ba49be890f	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domain_execution.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-081	[x]
ZS1-082	src/domains.rs	target	24622	c11e10d02a21ed3412e731acd269080053b18f649935bb1f9486b128ee7c79ac	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domains.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-082	[x]
ZS1-083	src/governance.rs	target	44516	4d80ffb9f29bb987e488bad93bc35546a6994065e793bd645fc3d73802930552	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/governance.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-083	[x]
ZS1-084	src/headless.rs	target	370207	bf252fec95a859b26f9aea402c918e9efbf6c2c55d3e24b403831f86d80ec06e	stage1_pi_mono		ZS1-084	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/headless.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-084	[x]
ZS1-085	src/tui.rs	target	681440	83f5aa5b91f83cdcde80cc43936baafe8c681eb3f885b4fe9b213affa0217681	stage1_pi_mono		ZS1-085	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/tui.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-085	[x]
ZS1-086	src/view_model.rs	target	42009	094833f051ab66d30ce3f6cc74fcc0334ed938e79f5fd8e9269341b62bed08fe	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/view_model.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-086	[x]
ZS1-087	src/slash_actions.rs	target	76441	413a1ddba252ef2d435459af257cefa0cf45ef4c0b6ff9007b0b1454d69a8e9d	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/slash_actions.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-087	[x]
ZS1-088	src/lib.rs	target	592	2b429ff43bfba672fea949a9fb51ee6eda41a2975589dbc852a50bef2e13d575	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/lib.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-088	[x]
ZS1-089	.github/workflows/ci.yml	target	2480	5d7173fa20a0de949e53525018dad07718a9e4a9d24a5fcd137b056af31792d6	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/.github/workflows/ci.yml_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/.github/workflows/current_folder_learn.md	understand	ZS1-089	[x]
ZS1-094	src/layout.rs	target	54632	218c1b1cb7853da8f5c03b51e09d552f0634efb82284e029cbcfaeb434dac05a	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/layout.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-094	[x]
ZS1-095	src/approval.rs	target	27606	c592686334a95047f749d7c61c793abc03ce93d5312b22aadeefa5aed9c85844	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/approval.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-095	[x]
ZS1-096	src/render.rs	target	30217	6eaaa712745659ae48f429217c5eb8961dd12e71789f8a2bc70867ee71ba25a7	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/render.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-096	[x]
ZS1-097	Cargo.toml	target	1001	94c25405859cbec9d1a02e7c1a0a4e0dbbfd96e5c6bc476c23b9dc8be7229a65	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/Cargo.toml_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/current_folder_learn.md	understand	ZS1-097	[x]
ZS1-098	Cargo.lock	target	42724	f822e2d73d49727fdb4898180d26ff75bf95a4f81b638b613cb457e3171a30e1	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/Cargo.lock_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/current_folder_learn.md	understand	ZS1-098	[x]
ZS1-099	vendor/crossterm/src/event/source/unix/mio.rs	target	9026	57f4a90b828444fcc6dd7199a73907bbbccf2df4b7808f9e8a0a4b0771e12e39	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/vendor/crossterm/src/event/source/unix/mio.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/event/source/unix/current_folder_learn.md	understand	ZS1-099	[x]
ZS1-133	tests/headless_project_workspace.rs	target	23349	6e87b7649b0e61c8fded9ec1b7bab953a479d6442020868a3e76d408d411248d	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/tests/headless_project_workspace.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/tests/current_folder_learn.md	understand	ZS1-133	[x]
