source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
ZS1-300	codex-rs/tui/src/bottom_pane/chat_composer.rs	reference:codex	374943	234189c66f50c8654ef72e86ad5463eea5dd1e0c09c98f8d64c898449161b6da	stage1_pi_mono		ZS1-300	Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/chat_composer.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-300	[ ]
ZS1-301	codex-rs/tui/src/bottom_pane/textarea.rs	reference:codex	91601	8cb5241c9e818210bfff63975e703f45a25a3da91bdb395667893903f7cb4b45	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/textarea.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-301	[ ]
ZS1-302	codex-rs/tui/src/bottom_pane/paste_burst.rs	reference:codex	24594	c80558dfd3cbde437f2fec9a855b01a3180542a53bb135dc92ce7c81299f1ee7	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/paste_burst.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-302	[ ]
ZS1-303	codex-rs/tui/src/bottom_pane/approval_overlay.rs	reference:codex	57262	c924923b402b198f8f77b249f0d37892896c0b84002c0f6e48330917da80cecc	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/approval_overlay.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-303	[ ]
ZS1-304	codex-rs/tui/src/bottom_pane/pending_thread_approvals.rs	reference:codex	4105	a401d7c6ba3051fcf2c20152a9e86a3f4f8751a87470cbc7f518001326618a2f	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/pending_thread_approvals.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-304	[x]
ZS1-305	codex-rs/tui/src/bottom_pane/mod.rs	reference:codex	72998	97af02eed39dbfdf69d1ec3e14dc13b9a91f4b33f5e4b985cc1f2cbae4105823	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/bottom_pane/mod.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/bottom_pane/current_folder_learn.md	understand	ZS1-305	[ ]
ZS1-306	codex-rs/tui/src/slash_command.rs	reference:codex	8020	9e53ca5bff5a5e7b86aa97731da985082db5d130c453e2d363edb9c5758ebc5a	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/slash_command.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/current_folder_learn.md	understand	ZS1-306	[ ]
ZS1-307	codex-rs/tui/src/file_search.rs	reference:codex	4009	7aaa33ac7fd28cbe5fa3405cd3490b30e614272122bb572c9c352acc418b71d9	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/file_search.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/current_folder_learn.md	understand	ZS1-307	[ ]
ZS1-308	codex-rs/tui/src/key_hint.rs	reference:codex	3306	07f34aab630b2658560d2d4e73719481ec8638e33eb38401d7a23643689f13c8	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/key_hint.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/current_folder_learn.md	understand	ZS1-308	[ ]
ZS1-309	codex-rs/tui/src/status_indicator_widget.rs	reference:codex	15810	e35e3efbd18784b55343366b2001bda08dfc1543f7e4a88700a715562d519cc5	stage1_pi_mono			Docs/learn/stage1_pi_mono/references/codex/files/codex-rs/tui/src/status_indicator_widget.rs_learn.md	Docs/learn/stage1_pi_mono/references/codex/codex-rs/tui/src/current_folder_learn.md	understand	ZS1-309	[ ]
