item_id	folder_path	folder_artifact	depends	status
ZS1-050	packages/agent/src/harness/compaction	Docs/learn/stage1_pi_mono/packages/agent/src/harness/compaction/current_folder_learn.md	ZS1-012	[x]
ZS1-051	packages/agent/src/harness/session	Docs/learn/stage1_pi_mono/packages/agent/src/harness/session/current_folder_learn.md	ZS1-013	[x]
ZS1-052	packages/coding-agent/src/core/extensions	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/extensions/current_folder_learn.md	ZS1-022,ZS1-023	[x]
ZS1-053	packages/coding-agent/src/core/tools	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/tools/current_folder_learn.md	ZS1-024,ZS1-025,ZS1-026,ZS1-027	[x]
ZS1-054	packages/agent/src/harness	Docs/learn/stage1_pi_mono/packages/agent/src/harness/current_folder_learn.md	ZS1-050,ZS1-051	[x]
ZS1-055	packages/ai/src/api	Docs/learn/stage1_pi_mono/packages/ai/src/api/current_folder_learn.md	ZS1-016,ZS1-017,ZS1-029	[x]
ZS1-056	packages/coding-agent/src/core	Docs/learn/stage1_pi_mono/packages/coding-agent/src/core/current_folder_learn.md	ZS1-018,ZS1-019,ZS1-020,ZS1-021,ZS1-028,ZS1-030,ZS1-052,ZS1-053	[ ]
ZS1-057	packages/agent/src	Docs/learn/stage1_pi_mono/packages/agent/src/current_folder_learn.md	ZS1-010,ZS1-011,ZS1-054	[x]
ZS1-058	packages/agent/test	Docs/learn/stage1_pi_mono/packages/agent/test/current_folder_learn.md	ZS1-014	[x]
ZS1-059	packages/ai/src	Docs/learn/stage1_pi_mono/packages/ai/src/current_folder_learn.md	ZS1-015,ZS1-055	[x]
ZS1-060	packages/coding-agent/src	Docs/learn/stage1_pi_mono/packages/coding-agent/src/current_folder_learn.md	ZS1-056	[ ]
ZS1-061	packages/agent	Docs/learn/stage1_pi_mono/packages/agent/current_folder_learn.md	ZS1-057,ZS1-058	[x]
ZS1-062	packages/ai	Docs/learn/stage1_pi_mono/packages/ai/current_folder_learn.md	ZS1-059	[ ]
ZS1-063	packages/coding-agent	Docs/learn/stage1_pi_mono/packages/coding-agent/current_folder_learn.md	ZS1-060	[ ]
ZS1-064	packages	Docs/learn/stage1_pi_mono/packages/current_folder_learn.md	ZS1-061,ZS1-062,ZS1-063	[ ]
ZS1-065	.	Docs/learn/stage1_pi_mono/current_folder_learn.md	ZS1-064	[ ]
