source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
ZS1-070	src/core.rs	target	157476	8e93d360ae897ce5f1d9c9f52ccdef89d1ad25369ac6b187dab252f3dc36a016	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/core.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-070	[ ]
ZS1-071	src/runtime.rs	target	28121	2183b622d96a8fdc084784af8f537fa09a4e1703b5ff70de3bc459d29fb05315	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/runtime.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-071	[x]
ZS1-072	src/protocol.rs	target	30269	8a04fece439141be24bf1df985a095a3960f341f6df833abe609ca0a15d0a105	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/protocol.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-072	[ ]
ZS1-073	src/context.rs	target	8199	bc4ce7999a0f4d162effece8c6f839aca3a230e97675a1d7908fca5d6a7fe909	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/context.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-073	[ ]
ZS1-074	src/session.rs	target	115551	d0ae990638a8844e814eba68f3b25b62b677cae9282c654dfbbe1cbcf4c6d61c	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/session.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-074	[ ]
ZS1-075	src/backend.rs	target	75179	215a2c4817f68bab49b18d4e10d356c83fd4e0d9474fd0ecee30937b4e2fdb3b	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/backend.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-075	[ ]
ZS1-076	src/config.rs	target	62804	2686c4254a1a13f4f76af26b9d4e478847ee0c818876f3ead6de409dbc8472c6	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/config.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-076	[ ]
ZS1-077	src/tools.rs	target	93283	e9d07ca02c2e3c7ff42547773efe176fcbb0ff148735c48cbe35fa2b73d61827	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/tools.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-077	[ ]
ZS1-078	src/skills.rs	target	7883	123258e777a32528d361933fad70bd66690b5c77afad7a756bf2d4a4ced374be	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/skills.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-078	[ ]
ZS1-079	src/slash.rs	target	72421	4bf6bb3176eee66198a29c3e1c62bd42bcf8f0e5d21bdf8c915d32116d4a34a9	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/slash.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-079	[ ]
ZS1-080	src/extensions.rs	target	23071	9b1879edcfb70e711960092e12060a9137e2aacda6bdc547318e5ccb7510fe39	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/extensions.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-080	[ ]
ZS1-081	src/domain_execution.rs	target	69219	f46237f1ef60d830ddf7f33edb064b3843917e861702e92add3b7aa6fe56a180	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domain_execution.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-081	[ ]
ZS1-082	src/domains.rs	target	24622	c11e10d02a21ed3412e731acd269080053b18f649935bb1f9486b128ee7c79ac	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/domains.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-082	[ ]
ZS1-083	src/governance.rs	target	38260	7c34c41e38ba1d8d7429ed13c86877fe10bcea7687a6bf3dc6808f6ce432867f	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/governance.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-083	[ ]
ZS1-084	src/headless.rs	target	312227	1c3b14bda2533e82e498372f0d570cf899833a06e41fd6cd70b8cf7cc385b478	stage1_pi_mono		ZS1-084	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/headless.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-084	[ ]
ZS1-085	src/tui.rs	target	323172	3cbc9db903d7bd197b5eb285c7a8d38f5b21ed00a2d8824a900699c866cd9ca0	stage1_pi_mono		ZS1-085	Docs/learn/stage1_pi_mono/targets/zenpi/files/src/tui.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-085	[ ]
ZS1-086	src/view_model.rs	target	40591	1089a9f352b5aaebc755b51ece8189c1daaca1aa82060d2f009630b915b3abee	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/view_model.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-086	[ ]
ZS1-087	src/slash_actions.rs	target	24998	682d8c46b5922ee4b4cb5978626f1276bf04e1c2a9540468d92d4fe8620ee6a8	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/slash_actions.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-087	[ ]
ZS1-088	src/lib.rs	target	592	2b429ff43bfba672fea949a9fb51ee6eda41a2975589dbc852a50bef2e13d575	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/lib.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-088	[x]
ZS1-089	.github/workflows/ci.yml	target	2480	5d7173fa20a0de949e53525018dad07718a9e4a9d24a5fcd137b056af31792d6	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/.github/workflows/ci.yml_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/.github/workflows/current_folder_learn.md	understand	ZS1-089	[x]
ZS1-094	src/layout.rs	target	54632	218c1b1cb7853da8f5c03b51e09d552f0634efb82284e029cbcfaeb434dac05a	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/layout.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-094	[ ]
ZS1-095	src/approval.rs	target	27606	c592686334a95047f749d7c61c793abc03ce93d5312b22aadeefa5aed9c85844	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/approval.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-095	[x]
ZS1-096	src/render.rs	target	30217	6eaaa712745659ae48f429217c5eb8961dd12e71789f8a2bc70867ee71ba25a7	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/src/render.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	understand	ZS1-096	[ ]
ZS1-097	Cargo.toml	target	1001	94c25405859cbec9d1a02e7c1a0a4e0dbbfd96e5c6bc476c23b9dc8be7229a65	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/Cargo.toml_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/current_folder_learn.md	understand	ZS1-097	[x]
ZS1-098	Cargo.lock	target	42724	f822e2d73d49727fdb4898180d26ff75bf95a4f81b638b613cb457e3171a30e1	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/Cargo.lock_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/current_folder_learn.md	understand	ZS1-098	[ ]
ZS1-099	vendor/crossterm/src/event/source/unix/mio.rs	target	9026	57f4a90b828444fcc6dd7199a73907bbbccf2df4b7808f9e8a0a4b0771e12e39	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/vendor/crossterm/src/event/source/unix/mio.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/event/source/unix/current_folder_learn.md	understand	ZS1-099	[x]
ZS1-133	tests/headless_project_workspace.rs	target	23349	6e87b7649b0e61c8fded9ec1b7bab953a479d6442020868a3e76d408d411248d	stage1_pi_mono			Docs/learn/stage1_pi_mono/targets/zenpi/files/tests/headless_project_workspace.rs_learn.md	Docs/learn/stage1_pi_mono/targets/zenpi/tests/current_folder_learn.md	understand	ZS1-133	[x]
