  PID  PPID  %CPU COMM
    1     0   0.0 /sbin/launchd
  161  2271   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.169/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
  615     1   0.5 /usr/libexec/logd
  616     1   0.0 /usr/libexec/smd
  617     1   0.0 /usr/libexec/UserEventAgent
  619     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  620     1   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  622     1   0.0 /usr/sbin/systemstats
  625     1   0.0 /usr/libexec/uarpassetmanagerd
  626     1   0.0 /usr/libexec/configd
  627     1   0.0 endpointsecurityd
  628     1   0.0 /System/Library/CoreServices/powerd.bundle/powerd
  629     1   0.0 /usr/libexec/IOMFB_bics_daemon
  631     1   0.0 /usr/libexec/amfid
  633     1   0.0 /usr/libexec/remoted
  635     1   0.0 /usr/libexec/keybagd
  636     1   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  637     1   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  639     1   0.0 /usr/libexec/watchdogd
  643     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  644     1   0.0 /System/Library/CoreServices/iconservicesd
  645     1   0.0 /usr/libexec/kernelmanagerd
  646     1   0.0 /usr/libexec/diskarbitrationd
  649     1   0.0 /usr/libexec/coreduetd
  650     1   0.0 /usr/sbin/syslogd
  652     1   0.0 /usr/libexec/thermalmonitord
  653     1   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  654     1   0.0 /usr/libexec/xprotectd
  655     1   0.0 /usr/libexec/opendirectoryd
  656     1   0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  657     1   0.0 /System/Library/CoreServices/launchservicesd
  658     1   0.0 /usr/libexec/timed
  659     1   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  660     1   0.0 /usr/sbin/securityd
  662     1   0.0 /usr/libexec/locationd
  663     1   0.0 /usr/libexec/nesessionmanager
  665     1   0.0 autofsd
  666     1   0.0 /usr/libexec/dasd
  667     1   0.0 /usr/libexec/corerepaird
  669     1   0.0 /usr/sbin/distnoted
  670     1   0.0 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  672     1   0.0 /usr/libexec/dirhelper
  673     1   0.0 /System/Library/CoreServices/logind
  674     1   0.0 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  675     1   0.0 /usr/sbin/KernelEventAgent
  676     1   0.0 /usr/libexec/peakpowermanagerd
  677     1   0.0 /usr/libexec/usermanagerd
  680     1   0.2 /usr/sbin/notifyd
  681     1   0.0 /usr/libexec/sandboxd
  682     1   0.1 /usr/libexec/corebrightnessd
  683     1   0.0 /usr/libexec/AirPlayXPCHelper
  684     1   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  685     1   0.0 aslmanager
  686     1   0.0 /usr/libexec/logd_helper
  687     1   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  688     1   0.0 /usr/sbin/cfprefsd
  691     1   0.0 /usr/libexec/fskitd
  692     1   0.0 /usr/libexec/powerexperienced
  693     1   0.0 /usr/libexec/runningboardd
  694     1   0.7 /usr/libexec/trustd
  695     1   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  696     1   0.0 /System/Library/CoreServices/coreservicesd
  697     1   0.0 /usr/libexec/trustdFileHelper
  698     1   0.0 /usr/libexec/securityd_system
  700     1   0.0 /usr/libexec/lsd
  701     1   0.0 /usr/libexec/containermanagerd_system
  702     1   0.0 /usr/sbin/coreaudiod
  705     1   0.0 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  706     1   0.0 /usr/libexec/mobileassetd
  707     1   0.0 /System/Library/CoreServices/TimeMachine/backupd-helper
  708     1   0.0 /usr/libexec/PowerUIAgent
  709     1   0.0 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
  710     1   0.0 /usr/libexec/apfsd
  711     1   0.0 /usr/libexec/nsurlsessiond
  712     1   0.0 /usr/libexec/aned
  713     1   0.0 /usr/libexec/nehelper
  714     1   0.0 /usr/libexec/eligibilityd
  715     1   0.0 /usr/libexec/hidd
  718     1   0.0 /usr/libexec/biometrickitd
  723     1   0.0 /usr/libexec/secinitd
  725     1   0.1 /usr/libexec/airportd
  726     1   0.0 /usr/sbin/distnoted
  729     1   0.0 /usr/sbin/distnoted
  730     1   0.0 /usr/libexec/symptomsd
  736     1   0.0 /usr/libexec/ApplicationFirewall/socketfilterfw
  741     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  743     1   0.0 /usr/sbin/distnoted
  746     1   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  755     1   0.0 Core Audio Driver (MSTeamsAudioDevice.driver)
  756     1   0.0 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  760     1   0.0 /usr/sbin/WirelessRadioManagerd
  764     1   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  765     1   0.0 /usr/libexec/audiomxd
  781     1   0.0 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  786     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  792     1   0.0 /usr/libexec/colorsync.displayservices
  793     1   0.0 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  797     1   0.0 /usr/libexec/triald_system
