item_id	folder_path	folder_artifact	depends	status
ZS1-090	src	Docs/learn/stage1_pi_mono/targets/zenpi/src/current_folder_learn.md	ZS1-070,ZS1-071,ZS1-072,ZS1-073,ZS1-074,ZS1-075,ZS1-076,ZS1-077,ZS1-078,ZS1-079,ZS1-080,ZS1-081,ZS1-082,ZS1-083,ZS1-084,ZS1-085,ZS1-086,ZS1-087,ZS1-088,ZS1-094,ZS1-095,ZS1-096	[ ]
ZS1-400	vendor/crossterm/src/event/source/unix	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/event/source/unix/current_folder_learn.md	ZS1-099	[x]
ZS1-401	vendor/crossterm/src/event/source	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/event/source/current_folder_learn.md	ZS1-400	[x]
ZS1-402	vendor/crossterm/src/event	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/event/current_folder_learn.md	ZS1-401	[x]
ZS1-403	vendor/crossterm/src	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/src/current_folder_learn.md	ZS1-402	[x]
ZS1-404	vendor/crossterm	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/crossterm/current_folder_learn.md	ZS1-403	[x]
ZS1-405	vendor	Docs/learn/stage1_pi_mono/targets/zenpi/vendor/current_folder_learn.md	ZS1-404	[ ]
ZS1-406	tests	Docs/learn/stage1_pi_mono/targets/zenpi/tests/current_folder_learn.md	ZS1-133	[x]
ZS1-091	.	Docs/learn/stage1_pi_mono/targets/zenpi/current_folder_learn.md	ZS1-090,ZS1-093,ZS1-097,ZS1-098,ZS1-405,ZS1-406	[ ]
ZS1-092	.github/workflows	Docs/learn/stage1_pi_mono/targets/zenpi/.github/workflows/current_folder_learn.md	ZS1-089	[x]
ZS1-093	.github	Docs/learn/stage1_pi_mono/targets/zenpi/.github/current_folder_learn.md	ZS1-092	[x]
